character,nationality
Ekin,Turkey
Giovanni,Italy
Robert Toulon,USA
Alexandra Toulon,USA
Sargent Jessica Russell,USA
Bimbo,fictional
Koko,fictional
Betty,fictional
Frankenstein-style Monster,fictional
Lieutenant Li,China
Lai Xi,Japan
Cleo,Egypt
Harishkumar S. Patel,India
Mohan Bakshi,USA
Priya,India
Janvi Valia,India
Leo Szilard,Hungary
Albert Einstein,Germany
General Leslie Groves,USA
J. Robert Oppenheimer,USA
Harry S. Truman,USA
General Eisenhower,USA
Doris Diaz,Puerto Rico
Doris' Son,Puerto Rico
Doris' Daughter,Puerto Rico
Doris' Ex-Husband,Puerto Rico
Doris' Boyfriend,Puerto Rico
Young Woman (Boyfriend's Wife),Puerto Rico
Samuel Sayer,UK
Rose Sayer,UK
Charlie Allnut,Canada
Ajay,Unknown
Soniya,Unknown
Ajay's Father,Unknown
Sriram,Unknown
Easwar,Unknown
Frank Vega,USA
Mátyás Schneider,unknown
Hyppolit,unknown
Terka,unknown
István Benedek,unknown
Makáts,unknown
Mimi,unknown
Danny Muldoon,USA
Rose Muldoon,Irish
Patrick Muldoon,USA
Salvatore 'Sal' Buonarte,USA
Doyle,USA
Nick Acropolis,Greek
Oswald,unknown
Teddy Bear,unknown
Dog,unknown
Fox,unknown
Tom Phillips,USA
Duke,USA
Gloria,USA
Vampire,Transylvania
Headmaster,not provided
Young Boy,not provided
Driver,not provided
Children,not provided
Adults,not provided
Retired Man,unspecified
5 Year Old Girl,unspecified
Vivian Abromowitz,USA
Murray,USA
Uncle Mickey,USA
Rita,USA
Ben,USA
Rickey,USA
Paul Saxon,USA
Rae Smith,USA
Liz,USA
Tenga,Polynesia
Kalua,Polynesia
Kahuna,Polynesia
Colonel Bingham,England
Orphan Psychiatrist,England
Sir Ashley,England
George 'Zahir' Khan,Pakistan
Ella,England
Nazir,England
Tariq,England
Saleem,England
Meenah,England
Sajid,England
Abdul,England
Maneer,England
Frank Chambers,USA
Nick Papadakis,Greece
Local Prosecutor,USA
Cora's Lawyer,USA
Paroma,India
Rahul,Unknown
Doctor,India
Sir Hugo,England
Lady Harriet,England
Cleo,England
Sidney,England
Fledge,England
Mario,Bolivia
Blanca,Bolivia
Chicken,Republic of China
Zhuo,Republic of China
Nanako,Japan
Chan Ho-nam,Hong Kong
Ray Complex,Republic of China
Peter,Japan
Mrs. Claus,North Pole
Santa Claus,North Pole
Family of Jewish Immigrants,USA
Joe Beebe,USA
David Beebe,USA
Mike Beebe,USA
Martha Randall,USA
The Pink Panther,N/A
Magdalena,Germany
Michael,Germany
Jürgen,Germany
Joe Kingman,USA
Peyton Kelly,USA
Stella Peck,USA
Monique Vasquez,USA
Samuel Blake Jr,USA
Karen Kelly,USA
Sara,USA
Webber,USA
Sanders,USA
Rajkumar Mehta,India
Pushpa,India
Captain Prem Nath,India
Tiltibai,India
Mangal,India
Shoba Mehta,India
Bugs Bunny,USA
Daffy Duck,USA
Elmer Fudd,USA
Ahmed,Egypt
Taher Pasha,Egypt
Amal,Egypt
Michael Perry,USA
Jason Burkett,USA
Jennifer Walker,USA
David Morretti,USA
Russel Stevens Jr.,USA
Gerald Carver,USA
Anton Gallegos,South American
Hector Guzmán,South American
Belinda Chacón,USA
David Jason,USA
Betty McCutcheon,USA
Detective Taft,USA
Hernández,USA
Eddie Dudley,USA
Felix Barbossa,South American
Ivy,USA
Mrs. O'Brien,USA
Mr. O'Brien,USA
Jack O'Brien,USA
R.L.,USA
Tonie Carter,USA
Randy Britton,USA
Paul Turner,USA
Driscoll,Irish
Ole Olsen,Swedish
Cocky,unknown
Smitty,English
Nia,USA
Matt,USA
Lewis,USA
Joe,USA
Rocky Selim,unknown
The Masked Gang,unknown
Rocca,Italy
Scanlon,Ireland
Fell,unknown
Durrell,unknown
Saval,unknown
Major Richard Mace,UK
Mila,Yugoslavia
Marko,Yugoslavia
Chief Minister Arjun Patil,India
Deputy Chief Minister Praveen Deshpande,India
Bihari,India
Inspector Nagesh Rao,India
Artyom Kolchin,Russia
Sasha Belov,Russia
Valiyev,Russia
Ivan,England
Doctor Victoria,Russia
Konstantin,Russia
Larry,USA
Philip Manavaalan,India
Cecily,India
Raju,India
Mammootty,India
Carlos,Cuba
Ricardo,Cuba
Elena,Cuba
Ulrike Meinhof,Germany
Gudrun Ensslin,Germany
Andreas Baader,Germany
Benno Ohnesorg,Germany
Karl-Heinz Kurras,Germany
Horst Mahler,Germany
Stefan Aust,Germany
Siegfried Hausner,Germany
Brigitte Mohnhaupt,Germany
Christian Klar,Germany
Susanne Albrecht,Germany
Francisco Goya,Spain
Brother Lorenzo Casamares,Spain
Inés,Spain
Tomás Bilbatúa,Spain
Ángel Bilbatúa,Spain
The Inquisitor General Father Gregorio,Spain
Charles IV,Spain
Napoleon,France
Alicia,Spain
British officer,United Kingdom
Kwon Yeon-woo,South Korea
Soo-young,South Korea
Kang Sook,South Korea
Kwon Ha-kyeong,South Korea
Max Goof,USA
P.J. Pete,USA
Bobby Zimeruski,USA
Goofy,USA
Bradley Uppercrust III,USA
Sylvia Marpole,USA
Robert 'Bobby' Garfield,USA
Carol Gerber,USA
John 'Sully' Sullivan,USA
Liz Garfield,USA
Harry Doolin,USA
Saajan,India
Kaajal,India
Col. Sood,India
Fitz,USA
Monica,USA
Jimmy,USA
Jimmy's Father,USA
Fitz's Father,USA
Joe Maybe,USA
Jim Noonan,USA
Judge Kyle,USA
Tessa Milott,USA
Sam Teeler,USA
Bahman Farjami,Iran
Moreau,French
Nadya,unknown
Danny,unknown
Johnny Blaze,American
Ray Carrigan,unknown
Roarke,unknown
British Prime Minister,UK
Female Captain,UK
Geremio,Italy
Rasputin,Russia
Captain Tom Wilder,USA
Tack (Chief Engineer),USA
Cathy Grainger,United Kingdom
Jane,USA
Seiko Nakamura,Japan
Ritsuo,Japan
Murase,Japan
Adam,USA
Bruno,USA
Megumi Tanaka,Japan
Dhanush,India
Sridevi Vijaykumar,India
Kunal,India
Father Michael,unknown
Brother Tomas,unknown
Brother Gregory,unknown
Munkar and Nakir,unknown
Rachel Dressler,USA
Susan Costello,USA
Jack Carver,USA
Ty,USA
Ray Jarrett,USA
Carl,USA
Felicia,USA
Col. Jason Halsey,USA
Dr. Dio Gottlieb,USA
Wu Di,Chinese
Yuelou,Chinese
Kunju Lakshmi,Indian
Sivasankaran,Indian
Achu,Indian
Padmanabhan,Indian
Sister Agnes,Canada
Dr. Martha Livingston,USA
Mother Miriam Ruth,Canada
Misaki,Japan
Ken'ichi,Japan
Rahul,India
Meera,India
Kim Hyeon-gon,South Korea
Seon-ah,South Korea
Lee Byeong-hoon,South Korea
Min-yeong,South Korea
Cheol-bin,South Korea
Jae-pil,South Korea
Lee Sang-yong,South Korea
Kim Hee-joong,South Korea
Simon Watterman,USA
Cecil Watterman,USA
Evelyn,USA
Carlos,USA
Prem,India
Khushi,India
Gaurav,India
Kiran,India
Mr. Pathak,India
Pooja,India
Sanjana,India
Amar Choudhary,India
Suraj Choudhary,India
Aryan,India
K.K Modi,India
B.K Modi,India
Balidaan Bhardwaaj,India
Bob Munro,USA
Jamie Munro,USA
Cassie Munro,USA
Carl Munro,USA
Todd,USA
Irv,USA
Travis Gornicke,USA
Mary Jo Gornicke,USA
Earl Gornicke,USA
Billy 'Not Earl' Gornicke,USA
Moon Gornicke,USA
Nix,unknown
Swann,USA
Pimm,unknown
Quaid,unknown
Jennifer Desiderio,USA
Butterfield,unknown
Harry D'Amour,USA
Dorothea,USA
Kaena,Vecarian
Opaz,Vecarian
Queen of the Selenites,Selenite
Young Jewish Boy,Netherlands
Phillip Calvert,UK
Hunslett,UK
Sir Anthony Skouras,Cyprus
Lord Kirkside,UK
Charlotte Skouras,Unknown
Jett Pangan,Philippines
Teddy Diaz,Philippines
Doraemon,Japan
Dragon,China
Rubbish Pool,China
Kent,China
Gigi,China
June,China
Dean,USA
Chett,USA
Monty,USA
Mitch,USA
Calvin,USA
Dan,USA
Natasha,USA
Naomi,USA
Serena,USA
Amy,USA
T-Dog,USA
Nick,USA
Raddamus,USA
Floyd,USA
Tyla,USA
Bishop,USA
Small Yellow Bird,unknown
Horse,unknown
Baron Hector Hulot,France
Jenny Cadine,France
Count Wenceslas Steinbach,France
Shyam,India
Ramesh,India
Lata,India
Shobha,India
Shivdas,India
Chang,Unknown
Miss Carol,USA
Jake Bolby,USA
Mr. Colton,USA
Samuel Curtis,USA
Blueberry Pirate,Unknown
The Boy Who Actually Saw A Woman’s Breast,Earth
Johnny R.,Unknown
Professor Hess,Unknown
Body Suit,Unknown
Habib Koité,Mali
Afel Bocoum,Mali
Tartit,Mali
Tommy,Scotland
Abdi,Somalia
Billy,Scotland
Jerry Mason,unknown
Gentleman Charlie,unknown
Harry Callahan,USA
Kamini Ranawat,India
Rahul Khanna,India
Gia Bakshi,India
Shiven Dungarpur,India
Rohit Chhada,India
Seema,India
Vinay Malhotra,India
Anjali,India
Ashutosh Raina,India
Tehzeeb Hussain,India
Ajay,India
Stephanie,USA
Ramdayal,India
Phoolwati,India
Tracy Turnblad,USA
Penny Pingleton,USA
Amber Von Tussle,USA
Velma Von Tussle,USA
Franklin Von Tussle,USA
Link Larkin,USA
Mr. Pinky,USA
Motormouth Maybelle,USA
Seaweed,USA
Prudence,USA
Corny Collins,USA
Tammy,USA
Edna,USA
Divine,USA
Yusaku Matsuda,Japan
Hiroshi Tachi,Japan
Dwight Towers,USA
Moira Davidson,Australia
Peter Holmes,Australia
Mary Holmes,Australia
Julian Osborn,USA
Raoul,Latino
Ruth,UK
Prashant,India
Bosko,unknown
Honey,unknown
Dr. Friedrich von Kammacher,Denmark
Ingigerd,Germany
Eva Burns,USA
Professor Utonium,USA
Blossom,USA
Bubbles,USA
Buttercup,USA
Mojo Jojo,USA
Jojo,USA
Octavio,Mexico
Susana,Mexico
Daniel,Mexico
Valeria,Spain
El Chivo,Mexico
Maru,Mexico
Kali,India
Shankar,India
Tithi,India
Debu Soren,India
Bob Malone,USA
Lt. Tony Dussecq,USA
Koji,Japan
Ted Rodrigue,USA
Michael,USA
Ron Burgundy,USA
Veronica Corningstone,USA
Nishant,India
Jaya,France
Zehra,India
Jonathan 'Mox' Moxon,USA
Jules Harbor,USA
Bud Kilmer,USA
Lance Harbor,USA
Darcy Sears,USA
Billy Bob,USA
Wendell Brown,USA
Charlie Tweeder,USA
Emma,Unknown
Jamie,Unknown
Avril,Unknown
Anna Leonowens,Wales
King Mongkut,Thailand
Louis,Wales
Tuptim,Burma
Lun Tha,Burma
Kralahome,Thailand
Prince Chulalongkorn,Thailand
Ambassador John Hay,USA
Sir Edward Ramsay,England
Ramakrishna,India
Priya,India
Priya's Father,India
Prakash Raj,India
Padmavathi,India
Bernardo,Philippines
Patria,Philippines
Rose,Philippines
Mouse,unknown
Fox,unknown
Owl,unknown
Snake,unknown
Gruffalo,unknown
Chan Kwok-chung,China
Jack,Unknown
Ma Kwun,China
Wong Po,China
Robert Klein,France
Jewish Newspaper Delivery Person,France
Police Authorities,France
Yang Mi-sook,South Korea
Seo Jong-cheol,South Korea
Lee Yoo-ri,South Korea
Jong-hee,South Korea
Jeremy Stanton,unknown
Lifestyle Guru,unknown
Telephone Route-finding Service,unknown
Ruthless Killer,unknown
Judy,unknown
State Trooper,unknown
FBI Agent,USA
DEA Agent,USA
Hitman,varies
Mob Boss,varies
Hawkins Coselow,USA
Chandra Kerkorian,USA
Dr. Alexis Zalazny,USA
Omegas,USA
The Team,USA
John Bradshaw,UK
Reverend Peter Britton,UK
Katherine Britton,UK
Dennis Britton,UK
Max Borrow,UK
Stella White,UK
Nick Wrigley,unknown
Danny Wrigley,unknown
Santa Claus,unknown
Kaitlyn,unknown
Peter,unknown
Molly McKinley,USA
Sophie,USA
Dracula,unspecified
Billy the Kid,unspecified
Betty Bentley,unspecified
German immigrant couple,Germany
Town Sheriff,USA
Country Doctor,USA
Buster Keaton,USA
Tomura,Japan
Yuriko,Japan
Mariko,Japan
Luis,Philippines
Andy,Philippines
Shale,USA
Jane Hetzko,USA
Juan Lacas,unknown
Principal Rolle,USA
Camille Livingston,USA
Zara/Maria,Unknown
Carl Salter,Unknown
Tony,Unknown
Bruno,Italy
Clodagh,Ireland
Mr Dean,UK
Sister Ruth,unknown
the Young General,India
Zambezi Glen Leaders,USA
Wives and Girlfriends,USA
Club Employee,USA
Cameraman,USA
Local Newscaster,USA
Chauffeur,USA
Captain Lee Briggs,USA
Lee Miller,USA
Millie,USA
Tommy,USA
Jimmy,USA
Connie,USA
Monroe Clark,USA
Zack Barnes,USA
General Mohammed Al-Rawi,Iraq
Chief Warrant Officer Roy Miller,USA
Martin Brown,USA
Clark Poundstone,USA
Ahmed Zubaidi,Iraq
Lawrie Dayne,USA
Freddy,Iraq
Cinta,Indonesia
Rangga,Indonesia
Alya,Indonesia
Yusrizal,Indonesia
Borné,Indonesia
Beanie Sigel,USA
Memphis Bleek,USA
Myxt Matanza,USA
Jay-Z,USA
Kevin Hart,USA
Mary,UK
Steven,UK
Howard,UK
Rhoda Montaine,USA
Gregory Moxley,USA
Carl Montaine,USA
C. Phillip Montaine,USA
Perry Mason,USA
Johnnie Gray,USA
Annabelle Lee,USA
Captain Anderson,USA
Jean Hansen,USA
Dr. Matthew Clark,USA
Reuben Widdicombe,USA
Mrs. Widdicombe,USA
Ted,USA
Tosya,Russian
Ilya,Russian
Ursula Georgi,Javanese
Laura Stanhope,USA
Police Detective,USA
Xin Baihe,China
Liang,China
Levy Yitzchok,fictional
Winthrop Putnam,USA
Ethel Barrymore,USA
Ethel Jackson,USA
Marcia Sherman,USA
Robert Sherman,USA
Tibetan Man,Tibet
Bob,France
Anne,France
Paolo,France
Marc,France
Inspector Ledru,France
Alan Palmer,USA
Jane Palmer,USA
Danny,USA
Don Blake,USA
Kathy,USA
Raja,India
Ravi,India
Riki Fudoh,Japan
Riki's Father,Japan
Female Teacher,Japan
Riki's Half Brother,Japan
Daigen Nohma,Japan
Kelly,USA
Colonel Dankhopf,Germany
Big Joe,USA
Crapgame,USA
Oddball,USA
General Colt,USA
Friedrich Weimer,Germany
Friedrich's Father,Germany
Papori,India
Binod,India
Phukan,India
Farmer,South Korea
Itinerant Performer (Wife),unknown
Old Boyfriend (Itinerant Performer),unknown
Adrian Lim,Singapore
Solo,unknown
Psychiatrist,unknown
Love Interest,unknown
Nick Gunar,USA
Chan Ho Nam,China
Tung Sing triad members,China
Szeto Ho Nam,China
Uncle Seven,China
Ma Nadu Chen Jianan,China
Shu Qi,China
Big Head Young Tim,China
Mr. Chiang,Malaysia
Zoe,Mexico
Gonzalo,Argentina
Ignacio,Mexico
Diego de la Vega,Spain
Miguel de la Serna,Spain
Colonel Huerta,Spain
Kapitan Fritz von Markel,Spain
Sergeant Garcia,Spain
Carmen,Spain
Hortensia Pulido,Spain
Brother Francisco,Spain
Gabriel,Heaven
Archangel Michael,Heaven
Sammael,Hell
Uriel,Heaven
Raphael,Heaven
Amitiel,Heaven
Alex,USA
Vera,USA
Mark,USA
Kir,USA
Robert,USA
Pearl Saunders,USA
Lord George Grayston,England
Minnie,England
Thornton Clay,USA
Flora,Unknown
Arthur Fenwick,England
Bessie,USA
Lord Harry Bleane,England
Fleming Harvey,Unknown
Pepi D'Costa,Unknown
Ernest,Unknown
Allison Goldring,USA
Jeremy Tanner,USA
Beverly Goldring,USA
Andrea Murdoch,USA
Jonathan Garson,USA
Castella,-
Clara,-
Angelique,-
Franck,-
Bruno,-
Manie,-
Adam Buckley,USA
Kevin Fahey,USA
Frank,USA
Matt,USA
Zack,USA
Jacob,USA
Justin,USA
Nicole,USA
Harry,USA
Krysta,USA
Sunny Leone,USA
William Smith,England
Danny Smith,England
Sergeant Enoch Samways,England
Captain Lancaster,England
Dr. Charles A. Forbin,USA
Dr. Kuprin,Soviet Union
Juno MacGuff,USA
Paulie Bleeker,USA
Leah,USA
Mac,USA
Bren,USA
Mark,USA
Vanessa Loring,USA
Kelvin Woo,Singapore
Colonel Ng,Singapore
Major Eric Ong,Singapore
Peter Li,Singapore
Greg Li,Singapore
Salina,Singapore
Alex,Singapore
Bobby,Singapore
Chip,N/A
Dr. Jonas Carson,N/A
Becky,N/A
Roberta,N/A
Dr. Phil Masters,N/A
Prof. Victoria Gray,N/A
Stig-Helmer,Sweden
Ole,Sweden
Mr. Badii,Iran
Young Kurdish Soldier,Kurdish
Afghan Seminarist,Afghan
Azeri Taxidermist,Azeri
Micah Mangena,South Africa
Zweli Mangena,South Africa
Pule Rampa,South Africa
White Superior,South Africa
FBI Special Agent,USA
Mathias,French
Catherine,French
Annette,French
Polish Jew,Polish
Louie,USA
Sheriff,USA
Pete Briggs,USA
Blackjack McCoy,USA
Indian Joe,USA
Gabe,USA
Slip,USA
Sach,USA
Kani,Mali
Meya,Mali
Duchess,USA
The Dirtwater Fox,USA
Hasmukh Mehta,India
Mansukh Mehta,India
Shekar,India
Raj,India
George,USA
Madeline,USA
Henry,USA
Jane,USA
Celine,USA
Don,USA
Maureen,USA
Mohammed,USA
Martin,USA
Sunny Khanna,United Kingdom
Mahek,India
Dr. Verma,India
Captain Nelson,USA
Gurkha guides,Nepal
Chinese Army Captain,China
Japanese Army,Japan
Lt. Jacobs,USA
Darcy,USA
Stan,USA
Lila,USA
Donna,USA
Michaela,USA
Chris,USA
Alan Desland,English
Karin Foster,German
Inge,German
Mrs. Taswell,English
Vicar,UK
Daughter,UK
Vikrant,India
Preeti,India
Guru Gulab Khatri,India
Anmol,India
Manilal,India
Yeda Anna,India
Chota Chathri,India
Jim Morrison,USA
Pamela Courson,USA
Ray Manzarek,USA
Robby Krieger,USA
John Densmore,USA
Patricia Kennealy,USA
Dr. Cyrill Kipp,Canada
Dr. Olson,Canada
Mike Bonnert,Canada
Mitzi Cole,Canada
Christine,Canada
Sir George,unknown
Princess Helene,unknown
Sybil,unknown
Lodac,unknown
Sir Branton,unknown
Mithun Chakraborty,India
Shakti Kapoor,India
Gulshan Grover,India
Robert,France
Elizabeth,France
Dr. Francis,France
Oliver Branwell,UK
Tracey Moreton,UK
Sarah Moreton,UK
Clive Moreton,UK
Vere Litchen,UK
Croft,UK
Mrs. Moreton,UK
Daniel Melnick,USA
Gene Kelly,USA
Fred Astaire,USA
Stockard Channing,USA
Richard Benjamin,USA
Walter Matthau,USA
George Burns,USA
Ben Kane,USA
Billy Young,USA
Jesse Boone,USA
John Behan,USA
Lily Beloit,USA
Rachel Keller,USA
Aidan,USA
Max Rourke,USA
Dr. Emma Temple,USA
Evelyn,USA
Samara,Unknown
Colin,USA
Joanie,USA
Mandy,USA
Vera,USA
Mr and Mrs Peterson,USA
Bugs Bunny,USA
Yosemite Sam,USA
Daffy Duck,USA
Chang Wei,China
Fu Chi,China
Sharp,USA
Eustis,USA
Baby Girl,India
Adoptive Mother,India
Underprivileged Friends,India
Sridhar,India
Viji,India
Shiva,India
Shantha,India
Viji's Father,India
Roscoe,USA
Keaton,USA
Jimmy Egan,Unknown
Francis Tierney Jr.,USA
Ray Tierney,USA
Francis Tierney Sr.,USA
Angel Tezo,Unknown
Kenny Dugan,USA
Reuben 'Sandy' Santiago,USA
Eddie Carbone,USA
Casado,Unknown
Percy Boone,UK
Mr. Josser,UK
Mrs. Vizzard,UK
Mr. Squales,UK
Uncle Henry,UK
Anne Lister,UK
Miss Browne,UK
Christopher Rawson,UK
Ann Walker,UK
Dr. Hamílton,Brazil
Coffin Joe,Brazil
Jose Mojica Marins,Brazil
Rudolph Valentino,Italy
June Mathis,USA
Jean Acker,USA
Fatty Arbuckle,USA
Alla Nazimova,Russia
Natacha Rambova,USA
Sidney Olcott,USA
Donald,USA
Sam,USA
Arumugam,India
Uma,India
Bhaskaran,India
The Guy,Irish
The Girl,Czech
The Girl's Husband,Czech
The Loan Officer,Irish
Eamon,Irish
Yusuf,American
FBI Special Agent Helen Brody,American
H,Unknown
Annika Bengtzon,Sweden
Christina Furhage,Sweden
Father Anthony Romano,USA
Lil,USA
Ernest P. Worrell,USA
Joe Carruthers,USA
Marty Brock,USA
Dr. Shepard,USA
Detective Harold Kipps,USA
Joel,USA
Jimmy Quinn,USA
Commisioner Nick McConell,USA
Mrs. Pauley,USA
Lt. Murray Radcliffe,USA
Captain Fletcher,USA
Roger Shumann,USA
LaVerne,USA
Jack,USA
Jiggs,USA
Burke Devlin,USA
Matt Ord,USA
Daniel,Aboriginal Australian
Linden,Aboriginal Australian
Bruce,Australian
Scrat,unknown
Dr. Josh Keyes,USA
Commander Robert Iverson,USA
Major Rebecca 'Beck' Childs,USA
Teresa,Spain
Mother Superior,Spain
Michael Stuart,England
Guido the Gypsy,Spain
Flaco,Spain
Cordoba,Spain
Count Casimir,Belgium
Xerxes I,Persia
Artemisia I,Halicarnassus
Demaratus,Sparta
Themistocles,Athens
Leonidas I,Sparta
Leotychidas,Sparta
Ephialtes,Greece
Criminal Psychologist,not_given
Executed Serial Killer,not_given
Mr. Hogan,USA
Irene Wilson,USA
Robin Austin,USA
David,USA
Murphy,USA
Dorkus,USA
Aleksandr Kodorov,Russia
Dr. Julia Kelly,USA
Lieutenant Colonel Thomas Devoe,USA
Dimitri Vertikoff,Russia
Dušan Gavrić,Bosnia and Herzegovina
The Gang,unknown
Wise-Guy Acquaintance,unknown
Norwegian Citizens,Norway
Nigerian Citizens,Nigeria
English Couple,England
Insane Clown Posse,USA
Violent J,USA
Dewey,USA
Wallace,USA
Christina,undefined
Zoe,undefined
Eric,undefined
Francis,Canada
Thomas,undefined
MacArthy,Australia
Colonel Ball-Miller,Australia
Miss Russell,England
Andrea,Australia
Hannah,USA
Samantha,USA
Ben,USA
Khanna,India
Ajay,India
Priyanka,India
Ashish,India
Lily,USA
Joharv,Nepal
Rikuo Sakisaka,Japan
Sammy,Japan
Masakazu Masaki,Japan
Nagi,Japan
Akiko,Japan
Chie,Japan
Koji,Japan
Rina,Japan
Naive Raja,India
K.K.,India
Sapna,India
Rahul Saxena,India
Sattarbhai,India
Sharda,India
Dhanraj,India
Sona,India
Whipple Hoxworth,USA
Micah Hale,USA
Nyuk Tsin,China
Mun Ki,China
Purity,Hawaii
Noel,USA
Chantal,USA
Tracy,USA
Porky Pig,USA
Daffy Duck,USA
Fly By Night Aircraft Co. boss,USA
Charlie,USA
Khalil,PLO
Joe,USA
Tanya Sullivan,USA
Anmol,India
Sunita,India
Bhavana,India
Private Robert E. Lee Prewitt,USA
Captain Dana Holmes,USA
First Sergeant Milton Warden,USA
Private Angelo Maggio,USA
Karen Holmes,USA
Chance Harris,USA
Samantha Darko,USA
Corey,USA
Randy,USA
Justin,USA
Jeremy,USA
Sherlock Holmes,UK
John Watson,UK
Washington Debutante,USA
Snake Charmer,Iraq
Raja,India
Chhoti,India
Neel,India
Wilbert G. Winkle,USA
Amy Winkle,USA
Barry,USA
Joe Tinker,USA
Mr. McDavid,USA
Supply Sergeant,USA
Donald,USA
Amitabh Bachchan,India
Arun Sharma,India
Reshma,India
Dr. Salman,Pakistan
Shaheen,Canada
Mr. Zakaria,Canada
Zoey,USA
James,USA
Chase,USA
Quinn,USA
Logan,USA
Dustin,USA
Stacey,USA
Michael,USA
Brooke,USA
Lola,USA
Vince,USA
Mark,USA
Charles Foster Kane,USA
Jerry Thompson,USA
Susan Alexander,USA
Prakash,India
Geetanjali,India
Prakash's Mother,India
Geetanjali's Father,India
Grover Norwood,USA
Ulice Parker,USA
Hu Te,China
Ma Fu Yi,China
Ma Chao-Tsing,China
Stylish Girl,India
Young Boy,India
Springer,non-disclosed
Nazi soldiers,Germany
Luis Vargas,Hispanic-Cuban
Julia Russell,USA
Walter Downs,USA
Kote,India
Nandini,India
Mahadev,India
Gabriel Nájera aka 'El Apenas',Mexico
Ah To,China
Yumiko Kōda,Japan
Kung Zi,Japan
Takeno,Japan
Raja Rathnam Pillai,India
Muthu/Rajamanikyam,India
Rajaselvam,India
Rani Rathnam,India
Simon Nadar,India
Gary Wallace,Australian
Judy Beech,Australian
Howard Morrison,New Zealand
William,Unknown
Prakash Rathod,India
Naina Roy,India
Unnamed Man,unknown
Arif,India
Jai,India
The Professor,USA
Elder Daughter,USA
Younger Daughter,USA
Colleague at the University,USA
Young Italian Student,Italy
Italian Boyfriend,Italy
Khorshid,Tajikistan
Mom,Tajikistan
Landlord,Tajikistan
Emily Hefferen,USA
Robert Hart,USA
Jim Hefferen,USA
Rosemary Hefferen,USA
Rita Kirby,USA
George,USA
Minnie Moon,USA
Sam Howell,USA
Edward Daniels (Andrew Laeddis),USA
Chuck Aule,USA
Dr. John Cawley,USA
Dolores Chanal,USA
George Noyce,USA
Rachel Solando,USA
Dr. Sheehan,USA
Lisa Koslov,Poland
Michael Michailow,Poland
Hildegard,Poland
Vera Kowalska,Poland
Leonide Kirow,Poland
Dmitri Guryanov,Russia
Napoleon Bonaparte,France
Sgt. Bommell,France
Lt. Truchaut,France
Nicole 'Pumpkin',France
Dr. Lambert,France
Eugene Lenormand,France
Hortense,African origin
Jean-Paul,France
Mali,France
Amina,Unknown
Myriam,Unknown
Mama Afoué,Unknown
Abiyán,Unknown
Manuel,Brazil
Rosa,Brazil
Astrée,Sweden
Don Pedro de Avila,Puerto Rico
Dr. Sven Nagel,Sweden
Ryan Tyler,USA
Michael Tyler,USA
Ling,China
Chu,China
Pilot Chang,China
Eli Wallach,USA
Robert Keith,USA
Richard Jaeckel,USA
Warner Anderson,USA
Emile Meyer,USA
Prem,India
Nisha,India
Priya,India
Rahul,India
Bill Withers,USA
Mike,USA
Chris Jameson,USA
Corrupt General,Central America
Gowan McGland,Scotland
Geneva Spofford,USA
Gengnian,China
Xiuqing,China
Xiangyang,China
Jo,notreal
Anjali,notreal
Krishnan,notreal
Madhavan,notreal
Sir Robert Chiltern,UK
Mrs. Cheveley,unknown
Lord Goring,UK
Gigi,Taiwan
Fu Ho,Taiwan
Raymond Wong,Taiwan
Sam,Taiwan
Beauty,Taiwan
Taxi Driver,Iran
Kamau,Kenya
Otieno,Kenya
Alice,Kenya
J. Chalmers 'Pressure' Maxwell,USA
Jug Martin,USA
Leo Dexter,USA
Denny Costello,USA
Homer Bigelow,USA
Weepy Davis,USA
Jeff Randolph,USA
Samuel Leibowitz,USA
Luis,unknown
Leading Actress,unknown
John Bradley,British
Tuan,Thai
Luhanà,Thai
Marayå,Thai
Karen,Thai
Taima,Thai
CIA agent,USA
Renegade Agent,USA
Convicts,various
Dr. Amy Lane,USA
Annie,USA
Jenny,USA
Marshal,USA
Adolf Hitler,Germany
Eva Braun,Germany
Hermann Göring,Germany
Joseph Goebbels,Germany
Sigmund Freud,Austria
Christine,Italy
Mark,Italy
Uuno,Finland
Father-in-law,Finland
Anna Montgomery,England
Tom Palmer,USA
Juan Morales,unknown
Jay Hoffer,USA
Kate Douglas,USA
Larry Musgrove,USA
Jay Hoffer Jr.,USA
Newt Shaw,USA
Dennis Reardon,Ireland
Helen Drummond,England
Captain Preston,England
Mansi,India
Bansi,India
Rob / American Rabbit,USA
Teddy,USA
Bunny O'Hare,USA
Walt / Vultor,Unknown
Ping Pong,USA
Jens,Sweden
Jens' Father,Sweden
Mr. Toronto,Canadian
Sylvester,USA
Tweety,USA
Chakravarthy,India
Chakravarthy's Wife,India
Colleague,India
Nagayya,India
Li,China
Fei,China
Chintakayala Ravi,India
Seshamamba,India
Lavanya,India
Sunitha,India
American scientific expedition team,USA
Martians,Martian
Sailor,unknown
Archaeologists,varying
Ben,USA
Mei Oi,China
Ah Song,China
Flordelis,Brazil
Craig Schwartz,USA
Lotte,USA
Maxine,USA
Dr. Lester,USA
John Malkovich,USA
Buster Keaton,USA
Joe Roberts,USA
Sanjana,France
Rahul,India
Nisha,India
Shekhar,India
Police Inspector Khan,India
Marguerite Muir,French
Georges Palet,French
Suzanne,French
Josépha,French
Two Policemen,French
